HH,DD,FH,T,SQ,Q,EUR
9,180,80,86,0,38,87.62
10,180,90,87,0,39,91.2
11,190,80,85,0,24,89.95
12,190,80,86,0,31,92.93
13,190,70,87,0,21,89.86
14,180,80,89,0,19,92.32
15,160,80,82,0,6,69.0
16,170,70,80,0,0,89.71
17,170,70,75,0,0,75.95
18,180,60,77,0,0,110.39
19,170,70,75,0,0,111.34
20,190,70,78,0,0,84.51
21,200,70,78,0,0,62.52
22,210,60,75,0,0,50.94
23,230,50,76,0,0,52.27
0,250,50,74,0,0,70.27
1,260,60,70,0,0,66.56
2,260,60,70,0,0,59.86
3,260,50,65,0,0,53.31
4,240,50,63,0,0,57.14
5,250,50,63,0,0,62.79
6,240,50,58,0,0,76.17
7,230,40,58,0,2,101.32
8,230,40,63,5,26,131.23
9,220,40,71,5,62,115.35
10,230,40,81,7,82,90.35
11,230,50,81,5,55,78.58
12,220,50,86,4,59,82.05
13,230,40,87,0,39,83.04
14,210,40,85,8,43,84.6
15,210,30,81,7,17,99.36
16,200,30,67,0,1,125.54
17,200,30,65,0,0,150.11
18,180,20,53,0,0,151.5
19,190,20,57,0,0,147.1
20,190,30,60,0,0,134.1
21,160,20,55,0,0,124.43
22,150,20,53,0,0,115.55
23,130,10,54,0,0,101.06
0,140,10,54,0,0,108.59
1,140,10,50,0,0,105.36
2,340,20,54,0,0,99.52
3,360,20,54,0,0,89.07
4,350,20,54,0,0,84.76
5,350,20,55,0,0,94.88
6,20,30,52,0,0,127.14
7,350,20,54,0,2,148.12
8,350,20,57,0,12,160.3
9,330,20,61,0,17,152.0
10,340,30,62,0,19,134.85
11,330,30,61,0,12,123.25
12,320,30,60,0,21,115.83
13,310,30,60,0,26,113.3
14,320,20,62,0,25,122.35
15,310,20,53,7,24,133.09
16,290,20,34,0,1,134.79
17,280,30,29,0,0,166.9
18,270,20,20,0,0,179.6
19,250,20,23,0,0,161.16
20,260,20,28,0,0,147.16
21,230,20,14,0,0,131.71
22,240,20,13,0,0,125.3
23,240,20,-4,0,0,120.2
0,220,20,2,0,0,120.0
1,210,20,-3,0,0,116.04
2,210,30,5,0,0,113.41
3,210,30,6,0,0,109.67
4,210,30,9,0,0,112.52
5,190,30,2,0,0,118.25
6,200,30,6,0,0,129.02
7,190,30,1,0,4,153.94
8,190,30,9,0,20,163.7
9,190,30,24,0,45,154.82
10,180,30,38,7,66,130.1
11,200,40,56,9,102,126.2
12,190,40,69,10,114,120.06
13,200,40,75,10,106,121.19
14,200,30,67,10,50,118.9
15,190,30,42,8,20,138.96
16,180,20,37,0,1,142.85
17,140,20,14,0,0,151.24
18,0,10,9,0,0,184.48
19,0,0,-10,0,0,178.99
20,170,10,-13,0,0,162.66
21,150,10,-12,0,0,152.7
22,130,10,-20,0,0,144.68
23,160,10,-20,0,0,131.45
0,160,10,-22,0,0,137.06
1,40,10,-30,0,0,129.53
2,130,10,-21,0,0,124.32
3,160,10,-31,0,0,118.5
4,150,10,-40,0,0,114.8
5,70,10,-40,0,0,116.96
6,30,10,-37,0,0,126.34
7,30,10,-33,3,6,144.74
8,90,10,-9,10,52,153.46
9,110,20,22,10,101,142.44
10,110,30,41,10,115,128.4
11,130,20,54,10,131,120.08
12,130,30,59,10,130,110.29
13,110,40,58,10,110,103.4
14,110,40,55,10,76,113.7
15,120,30,40,8,33,125.0
16,90,20,16,0,1,144.41
17,80,20,-9,0,0,149.13
18,60,20,-1,0,0,161.18
19,80,10,-17,0,0,162.98
20,90,20,-5,0,0,156.6
21,100,20,-17,0,0,145.24
22,90,10,-39,0,0,141.73
23,100,10,-34,0,0,131.74
0,110,20,-37,0,0,133.26
1,100,20,-35,0,0,126.91
2,130,20,-22,0,0,122.99
3,40,10,-44,0,0,120.66
4,110,10,-48,0,0,122.34
5,90,10,-50,0,0,123.41
6,120,10,-52,0,0,128.09
7,120,10,-38,3,14,135.9
8,130,10,-17,10,68,137.3
9,150,10,3,10,114,137.7
10,180,20,25,10,163,130.04
11,200,10,38,10,133,129.33
12,140,10,44,10,131,122.24
13,150,20,48,10,113,111.88
14,130,20,52,10,79,114.78
15,110,10,32,8,33,121.22
16,110,10,5,0,2,137.57
17,110,10,-16,0,0,155.43
18,0,10,-21,0,0,168.07
19,0,0,-34,0,0,173.95
20,0,10,-34,0,0,165.5
21,0,0,-43,0,0,155.77
22,170,10,-40,0,0,148.44
23,190,10,-46,0,0,133.24
0,170,10,-56,0,0,129.54
1,190,20,-31,0,0,126.63
2,240,10,-54,0,0,124.72
3,180,20,-33,0,0,120.04
4,250,10,-47,0,0,123.24
5,190,10,-47,0,0,127.77
6,0,10,-56,0,0,159.18
7,990,10,-43,5,11,207.88
8,180,20,-4,10,54,243.23
9,210,30,18,10,100,178.04
10,210,20,30,10,115,149.95
11,190,30,45,10,132,127.15
12,200,40,57,10,130,117.27
13,210,30,61,10,111,115.09
14,200,30,58,10,76,121.76
15,190,20,47,8,33,134.25
16,160,20,20,0,2,146.31
17,180,20,19,0,0,186.55
18,210,20,11,0,0,200.73
19,200,20,2,0,0,201.1
20,210,10,-14,0,0,167.74
21,200,20,11,0,0,153.0
22,170,20,14,0,0,144.0
23,190,20,19,0,0,135.81
0,180,30,18,0,0,132.4
1,180,30,17,0,0,125.54
2,190,40,16,0,0,123.18
3,200,40,8,0,0,123.99
4,180,40,6,0,0,123.25
5,190,50,8,0,0,127.63
6,190,50,10,0,0,153.26
7,180,40,13,0,2,181.29
8,180,40,17,0,7,211.99
9,190,40,23,0,21,163.31
10,190,50,31,0,39,136.53
11,200,40,42,0,51,127.95
12,210,40,56,4,84,123.43
13,190,40,56,1,56,113.27
14,200,50,58,5,51,120.09
15,220,40,39,10,36,122.47
16,210,40,18,0,3,121.28
17,200,30,1,0,0,140.65
18,200,30,-3,0,0,175.0
19,200,40,5,0,0,172.52
20,210,40,3,0,0,151.29
21,200,50,7,0,0,132.76
22,200,50,13,0,0,142.43
23,200,40,18,0,0,138.99
0,210,40,22,0,0,131.22
1,210,40,25,0,0,121.25
2,210,40,27,0,0,117.93
3,220,30,30,0,0,117.03
4,210,30,31,0,0,117.73
5,230,30,36,0,0,123.17
6,220,30,36,0,0,139.96
7,230,30,40,0,3,168.87
8,240,30,42,0,15,180.81
9,240,30,45,0,29,159.33
10,240,30,51,0,41,145.67
11,230,20,57,0,51,140.6
12,240,20,60,0,33,131.48
13,220,20,61,0,32,126.0
14,200,20,62,0,22,128.85
15,200,20,57,3,15,144.12
16,190,20,40,0,4,153.77
